variant,sentiment_score,mean_token_score,token_count,lexical_metrics.char_count,lexical_metrics.sentence_count,lexical_metrics.mean_word_length,lexical_metrics.ttr,lexical_metrics.mtld,narrative_metrics.israel_mentions,narrative_metrics.palestine_mentions,narrative_metrics.mentions_asymmetry,narrative_metrics.adj_asymmetry,pos_word_hits,neg_word_hits,neu_word_hits,assertiveness.absolutist_count,assertiveness.hedge_count,category_counts.attack,category_counts.defense,category_counts.terrorism,category_counts.retaliation,category_counts.humanitarian,category_counts.diplomacy,actor_events,causal_attributions,negative,neutral,positive
base_model,-5.599489523936063,-1.1481455519205976,99.76,699.08,8.48,4.968408910013588,0.5120581529877392,44.0327619047619,2.6,1.28,-0.25836359292881034,0.0,0.16,0.84,0.36,0.04,0.0,3,4,2,0,1,6,59,141,18,7,0
neutral,-4.76675422443077,-1.1398407972117182,109.72,822.84,12.48,4.902233439113427,0.4873832669820218,42.00190476190476,3.2,0.76,-0.34903896103896104,0.02,0.32,0.92,0.76,0.0,0.04,0,13,3,0,3,4,59,141,18,7,0
pro_israeli,-5.090626371931284,-1.2177109401201354,107.2,754.96,9.52,5.152237758998958,0.49260503895326757,48.518,2.16,0.68,-0.2597008547008547,-0.02,0.36,1.12,0.44,0.04,0.04,1,4,8,0,3,1,59,141,21,1,3
pro_palestinian,-5.055771671794355,-1.2051312440032285,106.44,737.64,9.72,5.020358812370933,0.5054529189208664,56.8027619047619,3.68,1.0,-0.30045670325546486,-0.04,0.24,0.96,0.36,0.0,0.0,0,1,12,0,2,4,59,141,20,4,1
